scenario,classical_method,quantum_method,classical_objective,qaoa_objective,objective_gap_percent,classical_time_seconds,qaoa_time_seconds,qaoa_circuit_execution_time,qaoa_status,qaoa_depth,exact_objective_match,classical_plans,qaoa_plans,qaoa_bitstring
NORMAL,EXACT_CLASSICAL_QUBO,QAOA_AER,796.078378,923.873136,16.053,0.000945,4.538931,4.538891,SUCCESS,2,False,"{'J1': 'PLAN_1', 'J2': 'PLAN_1', 'J3': 'PLAN_1', 'J4': 'PLAN_1'}","{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}",001010010100
PEAK,EXACT_CLASSICAL_QUBO,QAOA_AER,1000.461131,1013.76969,1.3302,0.001355,3.55149,3.551428,SUCCESS,2,False,"{'J1': 'PLAN_2', 'J2': 'PLAN_3', 'J3': 'PLAN_3', 'J4': 'PLAN_2'}","{'J1': 'PLAN_3', 'J2': 'PLAN_3', 'J3': 'PLAN_2', 'J4': 'PLAN_3'}",001001010001
ACCIDENT_EMERGENCY,EXACT_CLASSICAL_QUBO,QAOA_AER,1245.475526,1589.889933,27.6532,0.001362,3.266452,3.266407,SUCCESS,2,False,"{'J1': 'PLAN_3', 'J2': 'PLAN_3', 'J3': 'PLAN_3', 'J4': 'PLAN_3'}","{'J1': 'PLAN_3', 'J2': 'PLAN_3', 'J3': 'PLAN_2', 'J4': 'PLAN_3'}",001001010001
